req_type,cpu_bw,memory,msg_per_sec,msg_t_mean,msg_t_std,rx_bytes,tx_bytes,mal_count_total,mal_time_max,mal_time_total,mal_ft_max,mal_test_complete,rx_packets,if_in_tx_packets
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,64,1441.802809015434,3444.986951947212,1990.898499121771,1994893.0,120748.0,10000,5669.986963272095,16.020684003829956,6.253151893615723,False,2128.0,1224.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,64,1442.4881357587662,3765.805538511276,2031.083368932416,1993256.0,119164.0,10000,6013.482093811035,17.02209782600403,6.338093042373657,False,2098.0,1200.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,64,1439.0601017939427,3550.4973471403123,2001.1346071869516,1990232.0,118066.0,10000,5777.160167694092,13.023833990097046,0.0,0,2076.0,1183.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,64,1443.3219573578483,3349.4838704824447,1958.9240994528693,1991101.0,116416.0,10000,5552.467107772827,11.016068935394289,0.0,0,2079.0,1158.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,64,1445.2124158385868,3461.177250242233,1977.3174266241533,1994702.0,120508.0,10000,5672.742128372192,12.024070978164673,0.0,0,2128.0,1220.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,64,1436.3719805027836,3533.345027375221,2001.9358371391324,1992435.0,119518.0,10000,5774.19114112854,11.015919923782349,0.0,0,2107.0,1205.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,64,1446.7506882519283,3559.9250897169118,2016.9088662680044,1990838.0,116086.0,10000,5808.195114135742,11.015591859817505,0.0,0,2073.0,1153.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 2 --json /tngbench_share/malaria.json,0.1,64,471.1082946003828,4992.24259505272,2505.7241984924767,2138301.0,266714.0,10000,20512.95495033264,29.035822868347168,21.48638200759888,True,3488.0,2829.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 2 --json /tngbench_share/malaria.json,0.1,64,477.5890175240489,4898.223162055016,2607.2119165271038,2128286.0,247658.0,10000,20416.54586791992,24.03264594078064,20.796068906784058,True,3280.0,2539.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 2 --json /tngbench_share/malaria.json,0.1,64,464.8586151985558,5093.071052098274,2479.6943253047307,2124590.0,247124.0,10000,20768.60284805298,30.33354902267456,21.46008992195129,True,3271.0,2532.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 2 --json /tngbench_share/malaria.json,0.1,64,476.5449617691848,4315.354537296295,2621.8978865722443,2125466.0,247724.0,10000,20674.798011779785,25.03334403038025,0.0,0,3279.0,2540.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 2 --json /tngbench_share/malaria.json,0.1,64,426.5092594814658,4711.386157870293,2615.083573015928,2125491.0,248294.0,10000,21072.845935821533,27.03676199913025,21.16077709197998,True,3289.0,2549.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 2 --json /tngbench_share/malaria.json,0.1,64,476.3735179145029,4721.190412950516,2544.9783903186785,2125541.0,247412.0,10000,20068.1369304657,25.033641815185547,20.27110505104065,True,3293.0,2536.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 2 --json /tngbench_share/malaria.json,0.1,64,466.5684392887338,4892.390298318863,2629.7164702088457,2125097.0,246290.0,10000,20761.19899749756,25.03383994102478,20.96322202682495,True,3284.0,2519.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 2 --json /tngbench_share/malaria.json,0.1,64,468.0152555666263,5092.764803433418,2516.2175873871206,2131514.0,252608.0,10000,20950.788974761963,27.073627948760983,21.74729299545288,True,3332.0,2614.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 2 --json /tngbench_share/malaria.json,0.1,64,477.6408919430384,4924.852424860001,2601.9620709672795,2135685.0,258680.0,10000,20297.3370552063,24.0324809551239,21.12685990333557,True,3388.0,2706.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 2 --json /tngbench_share/malaria.json,0.1,64,435.9230970155629,4630.633443641663,2646.5462455273755,2137257.0,258514.0,10000,20959.78879928589,26.03475308418274,0.0,0,3415.0,2703.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 2 --json /tngbench_share/malaria.json,0.1,64,466.3063130930556,4386.093823981285,2614.0788529772376,2130567.0,251432.0,10000,20827.02398300171,31.039172172546387,21.74543190002441,True,3338.0,2598.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 2 --json /tngbench_share/malaria.json,0.1,64,478.289576163976,4892.214635682106,2605.524067708472,2129268.0,247526.0,10000,20221.15707397461,25.03370213508606,20.803214073181152,True,3296.0,2537.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 2 --json /tngbench_share/malaria.json,0.1,64,477.5810997531185,4763.426541304589,2593.8812970947592,2133554.0,260198.0,10000,20126.56807899475,27.03602910041809,21.0225989818573,True,3367.0,2729.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 2 --json /tngbench_share/malaria.json,0.1,64,471.8779388627997,4879.725125145912,2538.3111410441106,2132320.0,251538.0,10000,20393.17798614502,27.03641700744629,21.394948959350582,True,3329.0,2597.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 2 --json /tngbench_share/malaria.json,0.1,64,476.8979637966991,4855.844860839844,2589.5551631096555,2128126.0,246354.0,10000,20434.64207649231,29.03642201423645,20.627185106277462,True,3267.0,2519.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 2 --json /tngbench_share/malaria.json,0.1,64,477.7653048380768,4830.521951508522,2591.892165199792,2133714.0,254258.0,10000,20167.00506210327,29.03904104232788,21.170995950698853,True,3368.0,2639.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 2 --json /tngbench_share/malaria.json,0.1,64,466.6795274252041,4850.993044352532,2614.9340508833184,2128281.0,254720.0,10000,20653.72085571289,26.034637928009037,0.0,0,3323.0,2646.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 2 --json /tngbench_share/malaria.json,0.1,64,477.6142898032709,4907.224345517158,2617.9529056856777,2137898.0,268766.0,10000,20483.35099220276,32.05029892921448,0.0,0,3467.0,2859.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 2 --json /tngbench_share/malaria.json,0.1,64,476.9802628182282,4873.062525582313,2603.86448695187,2143378.0,271482.0,10000,20256.041049957275,27.034730911254883,21.039063930511475,True,3494.0,2899.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 2 --json /tngbench_share/malaria.json,0.1,64,240.9177628290927,4814.378437900543,3456.547931570405,2145491.0,262238.0,10000,40682.82318115234,51.06890606880188,7.858277082443237,False,3430.0,2759.0
malaria publish -s 10 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,1194.504969110871,4731.580267381668,2240.7247454731105,838850.0,96592.0,10000,7273.684024810791,20.026874780654907,1556896095.20089,False,1058.0,858.0
malaria publish -s 10 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,1118.1966272632676,5287.008724856377,2277.620788013402,838082.0,93712.0,10000,7839.215040206909,15.021713972091677,0.0,0,1046.0,814.0
malaria publish -s 10 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,1193.8393927059822,4845.3334136486055,2255.9864864897613,840326.0,98464.0,10000,7393.950939178467,12.01607608795166,0.0,0,1080.0,886.0
malaria publish -s 10 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,1193.7905305060822,4767.947019290924,2260.338583955517,841250.0,96220.0,10000,7335.766077041626,15.018058061599731,-1528495396.74155,False,1094.0,852.0
malaria publish -s 10 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,1196.573574341274,4911.300710868835,2254.6687730046574,839666.0,95890.0,10000,7468.712091445923,15.019246101379396,1359825774.280815,False,1070.0,847.0
malaria publish -s 10 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,1195.0996374158406,4796.236367964744,2243.2537260932736,840062.0,98794.0,10000,7334.436178207397,12.016142845153809,0.0,0,1076.0,891.0
malaria publish -s 10 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,1192.5086995079964,4731.651696944236,2281.932829393621,839600.0,98728.0,10000,7307.478189468384,11.014384031295776,0.0,0,1069.0,890.0
malaria publish -s 10 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,1193.5581330381658,4803.846585917473,2265.540316156069,838190.0,94150.0,10000,7368.70002746582,15.02012586593628,1459665413.354647,False,1048.0,821.0
malaria publish -s 10 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,1194.108546279356,4851.254263138771,2270.6755460928266,840458.0,96682.0,10000,7415.414094924927,12.01667618751526,0.0,0,1082.0,859.0
malaria publish -s 10 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,1192.7765410087748,4768.050941562653,2267.8271902635734,837950.0,93646.0,10000,7323.286056518555,12.017125129699709,0.0,0,1044.0,813.0
malaria publish -s 10 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,1191.8280393511163,4801.389961695671,2264.8590087767057,840722.0,99190.0,10000,7353.410005569458,12.01643991470337,0.0,0,1086.0,897.0
malaria publish -s 10 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,1192.4974770725996,4771.38787510395,2261.201850440888,840062.0,95098.0,10000,7320.087194442749,14.02948784828186,-3231409769.673984,False,1076.0,835.0
malaria publish -s 10 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,1195.5285797271974,5201.815113186836,2300.989730422993,838784.0,96460.0,10000,7787.201881408691,16.256577014923096,319371589.69831204,False,1057.0,856.0
malaria publish -s 10 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,1197.0335013520446,4753.190471482277,2255.4569585888053,838280.0,95758.0,10000,7311.264991760254,11.015552997589111,0.0,0,1049.0,845.0
malaria publish -s 10 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,1193.1904091171575,4856.075786614418,2284.947410054709,838544.0,94636.0,10000,7446.352958679199,14.01972198486328,-6081376508.848443,False,1053.0,828.0
malaria publish -s 10 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,1195.743302726348,4896.209273958206,2260.7385214591995,838652.0,93952.0,10000,7451.308012008667,18.02413296699524,-5937589566.040421,False,1055.0,818.0
malaria publish -s 10 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,1193.675118786114,5305.51503417492,2319.631822058591,838454.0,93622.0,10000,7896.218061447144,21.02666187286377,0.0,0,1052.0,813.0
malaria publish -s 10 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,1193.71799212744,4789.274629282952,2248.1753746928403,845408.0,104998.0,10000,7331.040143966675,13.017953872680664,0.0,0,1157.0,985.0
malaria publish -s 10 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,1195.8946094609337,4798.078032398224,2282.1004207433048,838652.0,95008.0,10000,7381.273984909058,16.021463871002197,0.0,0,1055.0,834.0
malaria publish -s 10 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,1195.2630774573793,4810.4164328098295,2276.1686903285186,840260.0,97672.0,10000,7395.646095275879,13.017242193222046,0.0,0,1079.0,874.0
malaria publish -s 10000 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,336.9650536248566,1.8574615240097043,1.3848678136919956,101325880.0,931660.0,10000,39.984941482543945,34.24102711677551,0.0,0,10026.0,13510.0
malaria publish -s 10000 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,336.8216609102497,1.9493642091751096,1.3676966887848536,101265023.0,909934.0,10000,36.47613525390625,33.28198194503784,0.0,0,10026.0,13181.0
malaria publish -s 10000 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,317.82543262859326,2.8750625371932985,7.306455085129071,101315560.0,723130.0,10000,500.8869171142578,42.07801198959351,0.0,0,10035.0,10351.0
malaria publish -s 10000 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,336.401619342798,2.788387989997864,0.5288899029082074,101323850.0,700768.0,10000,38.61498832702637,37.0413830280304,0.0,0,10026.0,10012.0
malaria publish -s 10000 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,330.8331605143257,2.704272413253784,0.743622734117275,101397279.0,733120.0,10000,36.59200668334961,35.039559841156006,0.0,0,10028.0,10502.0
malaria publish -s 10000 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,317.40113052752054,2.1856589317321777,7.170401856354722,101238066.0,878176.0,10000,500.8978843688965,40.08101105690002,0.0,0,10034.0,12700.0
malaria publish -s 10000 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,324.9731815833551,2.646949601173401,5.049529370384311,101306902.0,746914.0,10000,500.26893615722656,34.11709904670715,0.0,0,10033.0,10711.0
malaria publish -s 10000 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,335.21452522322056,2.784204936027527,0.54606192028518,101385289.0,703660.0,10000,38.40088844299317,38.0437319278717,0.0,0,10025.0,10056.0
malaria publish -s 10000 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,332.0267857325211,2.828217387199402,0.5170835133815272,101252388.0,700834.0,10000,39.47687149047852,38.04440784454346,0.0,0,10028.0,10013.0
malaria publish -s 10000 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,332.3997545016614,2.666010856628418,0.8618380179459647,101292237.0,740566.0,10000,38.39612007141113,41.04587197303772,0.0,0,10030.0,10615.0
malaria publish -s 10000 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,336.1266580906354,2.0226842164993286,1.2959145461613113,101335402.0,891694.0,10000,36.60702705383301,38.04401898384094,0.0,0,10027.0,12905.0
malaria publish -s 10000 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,330.00336808781174,2.715472149848938,0.7687629644775138,101378855.0,732106.0,10000,40.38691520690918,40.04587697982788,0.0,0,10029.0,10487.0
malaria publish -s 10000 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,335.94090495712,1.463866639137268,1.4421111501160662,101308264.0,1029910.0,10000,37.57190704345703,38.04334592819214,0.0,0,10031.0,14999.0
malaria publish -s 10000 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,327.71462253781704,2.768490529060364,0.7475031149184684,101387966.0,725506.0,10000,40.32397270202637,37.04218006134033,0.0,0,10033.0,10387.0
malaria publish -s 10000 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,329.4894013440245,2.6274534702301025,6.007614565654535,101354561.0,757978.0,10000,596.0819721221924,41.08764386177063,0.0,0,10037.0,10879.0
malaria publish -s 10000 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,328.61585430877824,2.7646249771118163,5.194974894823805,101364992.0,723394.0,10000,517.7102088928223,41.14680504798889,0.0,0,10030.0,10355.0
malaria publish -s 10000 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,330.3754923451072,2.5412677764892577,0.8652227012318807,101414333.0,757870.0,10000,38.76805305480957,33.13358807563782,0.0,0,10029.0,10877.0
malaria publish -s 10000 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,335.35641577596374,2.5935476303100584,0.8895659646824952,101276634.0,752104.0,10000,36.84902191162109,38.04311299324036,0.0,0,10031.0,10790.0
malaria publish -s 10000 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,330.40352399209945,2.2667895793914794,1.2266830175106085,101381116.0,841834.0,10000,38.62786293029785,34.037322998046875,0.0,0,10027.0,12149.0
malaria publish -s 10000 -n 10000 -H 20.0.0.254 --json /tngbench_share/malaria.json,0.1,64,335.1296841495828,2.224332332611084,1.1999053353128992,101246871.0,842734.0,10000,36.802053451538086,40.04714703559876,0.0,0,10027.0,12163.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,512,1120.8926597515042,3762.276754069329,2038.820997021386,1991534.0,119254.0,10000,6022.6030349731445,14.019347906112673,0.0,0,2075.0,1201.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,512,1447.0888108293464,3519.287623643875,2005.6701593066064,1993624.0,117736.0,10000,5756.381034851074,12.017327070236206,0.0,0,2106.0,1178.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,512,1439.3039023309886,3362.3648850440977,1969.697920108856,1992307.0,117712.0,10000,5555.594921112061,19.025318145751957,6.037978887557983,False,2078.0,1178.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,512,1442.743669793187,2903.244350242615,1863.934000370088,1991753.0,119890.0,10000,5054.491996765137,15.019247055053713,5.633114099502564,False,2072.0,1211.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,512,1445.8783594930787,3536.0661722898485,2005.828074760051,1993500.0,120814.0,10000,5777.495861053467,15.0203959941864,6.09220290184021,False,2125.0,1225.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,512,1441.168244369234,3529.218628525734,1993.935898560328,1992856.0,119320.0,10000,5755.348920822144,12.014862060546877,0.0,0,2101.0,1202.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,512,1439.6584172278033,2800.428652501106,1827.6961811193437,1992785.0,118306.0,10000,4938.147068023682,18.02384185791016,5.857357978820801,False,2099.0,1187.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,512,1447.492828372337,3471.0596355199814,1987.431273677642,1991646.0,117910.0,10000,5707.444906234741,18.02372908592224,6.310204982757568,False,2084.0,1181.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,512,1445.3035003513066,3654.952631878853,2036.8860583961891,1995210.0,121606.0,10000,5913.2068157196045,18.02539300918579,6.251252889633179,False,2133.0,1237.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,512,1439.6843111664791,3562.3628878355025,2012.9528663275053,1990328.0,116656.0,10000,5805.057048797607,19.02590298652649,6.438225984573364,False,2055.0,1162.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,512,1442.6094411153445,3227.1841290950774,1943.0184086475872,1990849.0,117118.0,10000,5427.803039550781,17.023546934127808,6.237829923629761,False,2066.0,1169.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,512,1426.509557924623,3334.8026997327806,1953.228850220179,1993074.0,117910.0,10000,5528.529167175293,18.024646997451782,6.44652795791626,False,2096.0,1181.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,512,1442.9983014863456,3623.227563858032,2021.3471391268215,1992575.0,118726.0,10000,5882.31897354126,13.017640113830566,0.0,0,2105.0,1193.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,512,1452.6695578722004,3628.8351418972015,2029.592267466839,1990476.0,116656.0,10000,5893.070936203003,18.023335933685303,6.643985033035278,False,2065.0,1162.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,512,1439.2680455827144,3575.340135192871,2015.234909275595,1992545.0,117472.0,10000,5820.489883422852,14.018131017684937,0.0,0,2098.0,1174.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,512,1441.721779138595,3383.655567765236,1981.9807535485395,1990784.0,117184.0,10000,5601.778984069824,17.0224130153656,6.186800003051758,False,2076.0,1170.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,512,1446.5101953126602,3368.7500366926192,1975.7471249504576,1991502.0,119560.0,10000,5608.603000640869,19.02609896659851,5.921818971633911,False,2097.0,1206.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,512,1418.5916124426158,3392.3334341049194,1956.407735089463,1995069.0,120946.0,10000,5590.590000152588,19.025484085083008,6.453696966171265,False,2128.0,1227.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,512,1359.377956914861,3641.616671657562,1910.3471436074365,1989940.0,117010.0,10000,5756.048917770386,11.014045000076294,0.0,0,2061.0,1167.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 1 --json /tngbench_share/malaria.json,0.1,512,1438.321796958523,3561.5906990289686,2005.45553292711,1991323.0,117208.0,10000,5778.20611000061,13.01658296585083,0.0,0,2066.0,1170.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 2 --json /tngbench_share/malaria.json,0.1,512,465.8877685511139,4755.458888888359,2637.751790676651,2139963.0,261120.0,10000,20780.980110168457,26.033772945404053,0.0,0,3434.0,2742.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 2 --json /tngbench_share/malaria.json,0.1,512,435.5742360042664,4346.311848449707,2643.401678699382,2150218.0,275144.0,10000,21164.33596611023,28.03707504272461,0.0,0,3661.0,2956.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 2 --json /tngbench_share/malaria.json,0.1,512,471.22282594316295,4998.238134217262,2542.283404185215,2133173.0,252396.0,10000,20805.097818374637,31.04640817642212,0.0,0,3335.0,2610.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 2 --json /tngbench_share/malaria.json,0.1,512,243.82943331502148,5087.013724660874,3608.243157762392,2143557.0,253748.0,10000,40443.31502914429,47.06370806694031,8.341624975204468,False,3328.0,2630.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 2 --json /tngbench_share/malaria.json,0.1,512,477.4243210665082,4863.714794230461,2600.500743022603,2127808.0,246510.0,10000,20547.717094421387,26.031733989715576,0.0,0,3250.0,2521.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 2 --json /tngbench_share/malaria.json,0.1,512,465.3834509434294,5165.759661626816,2506.023333649457,2131628.0,253274.0,10000,21106.101036071777,31.12536692619324,21.79478406906128,True,3373.0,2625.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 2 --json /tngbench_share/malaria.json,0.1,512,436.058061341125,4759.804869866372,2655.364440452559,2133180.0,256412.0,10000,21074.239015579224,30.040093898773197,21.62765908241272,True,3379.0,2672.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 2 --json /tngbench_share/malaria.json,0.1,512,477.4420323341198,4875.491901993752,2614.014647016625,2131096.0,247790.0,10000,20377.202033996586,30.03913187980652,20.75930094718933,True,3327.0,2541.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 2 --json /tngbench_share/malaria.json,0.1,512,242.633942668112,5150.500109434128,3553.647607274512,2141821.0,252830.0,10000,40760.69498062134,51.0755341053009,8.59140396118164,False,3325.0,2617.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 2 --json /tngbench_share/malaria.json,0.1,512,426.340111236413,4671.009889292717,2602.670978912736,2141740.0,265544.0,10000,21038.227081298828,30.039796829223636,21.876247882843018,True,3471.0,2810.0
malaria publish -t -n 10000 -H 20.0.0.254 -q 2 --json /tngbench_share/malaria.json,0.1,512,477.8670400002917,4867.387327528,2596.012890094749,2133595.0,257570.0,10000,20199.42307472229,27.03658390045166,20.982862949371334,True,3396.0,2689.0
